iter	Passed	Remaining
0	1	105
1	1	87
2	2	79
3	3	74
4	3	70
5	4	68
6	5	67
7	5	65
8	6	64
9	7	63
10	7	62
11	8	61
12	9	60
13	9	59
14	10	58
15	11	57
16	11	57
17	12	56
18	13	56
19	13	55
20	14	55
21	15	54
22	16	54
23	17	54
24	17	53
25	18	53
26	19	52
27	20	52
28	21	51
29	21	50
30	22	50
31	23	49
32	23	48
33	24	47
34	24	46
35	25	45
36	26	44
37	26	43
38	27	43
39	28	42
40	29	42
41	29	40
42	30	40
43	31	39
44	31	38
45	32	38
46	33	37
47	33	36
48	34	35
49	34	34
50	35	34
51	36	33
52	36	32
53	37	31
54	37	30
55	38	30
56	38	29
57	39	28
58	40	27
59	40	27
60	41	26
61	42	25
62	42	25
63	43	24
64	44	23
65	45	23
66	45	22
67	46	21
68	47	21
69	48	20
70	48	19
71	49	19
72	50	18
73	50	17
74	51	17
75	51	16
76	52	15
77	53	15
78	54	14
79	55	13
80	55	13
81	56	12
82	56	11
83	57	10
84	58	10
85	59	9
86	59	8
87	60	8
88	61	7
89	61	6
90	62	6
91	63	5
92	63	4
93	64	4
94	64	3
95	65	2
96	65	2
97	66	1
98	67	0
99	67	0
